agent,opponent,our_points,opp_points,rallies,duration_s,won
Heuristic,default,1,5,6,0.054004292003810406,0
Heuristic,default,0,5,5,0.05318120797164738,0
Heuristic,default,3,5,8,0.08191470894962549,0
Heuristic,default,5,3,8,0.07142904191277921,1
Heuristic,default,5,4,9,0.07092770794406533,1
Heuristic,default,4,5,9,0.0877356668934226,0
Heuristic,default,5,0,5,0.048807332990691066,1
Heuristic,default,2,5,7,0.06976775010116398,0
Heuristic,default,5,2,7,0.06321841687895358,1
Heuristic,default,5,2,7,0.06305466708727181,1
Heuristic,default,5,4,9,0.08269508392550051,1
Heuristic,default,3,5,8,0.06392833404242992,0
Heuristic,default,5,1,6,0.06394049990922213,1
Heuristic,default,5,1,6,0.05651020794175565,1
Heuristic,default,5,1,6,0.05668204207904637,1
Heuristic,default,3,5,8,0.08143087499774992,0
Heuristic,default,5,4,9,0.09181154193356633,1
Heuristic,default,5,4,9,0.08209487493149936,1
Heuristic,default,5,3,8,0.07878404087387025,1
Heuristic,default,3,5,8,0.07644570805132389,0
Heuristic,default,5,1,6,0.05638029193505645,1
Heuristic,default,2,5,7,0.06681574997492135,0
Heuristic,default,2,5,7,0.06972020794637501,0
Heuristic,default,5,0,5,0.04688629205338657,1
Heuristic,default,5,2,7,0.07029537507332861,1
Heuristic,default,3,5,8,0.07777824997901917,0
Heuristic,default,4,5,9,0.08010733290575445,0
Heuristic,default,4,5,9,0.08053579181432724,0
Heuristic,default,5,1,6,0.06202229205518961,1
Heuristic,default,5,0,5,0.04901537508703768,1
Heuristic,default,2,5,7,0.06772408308461308,0
Heuristic,default,5,3,8,0.0752326250076294,1
Heuristic,default,5,4,9,0.08978545805439353,1
Heuristic,default,5,2,7,0.06995358294807374,1
Heuristic,default,2,5,7,0.05720183392986655,0
Heuristic,default,5,4,9,0.08441741694696248,1
Heuristic,default,0,5,5,0.046661832835525274,0
Heuristic,default,5,1,6,0.06102933292277157,1
Heuristic,default,5,3,8,0.0718773331027478,1
Heuristic,default,1,5,6,0.04659783304668963,0
Heuristic,default,5,3,8,0.07488787500187755,1
Heuristic,default,5,4,9,0.0806034579873085,1
Heuristic,default,5,3,8,0.06928787496872246,1
Heuristic,default,2,5,7,0.06294616707600653,0
Heuristic,default,0,5,5,0.049169834004715085,0
Heuristic,default,4,5,9,0.07785566593520343,0
Heuristic,default,5,4,9,0.08113808301277459,1
Heuristic,default,2,5,7,0.07271920912899077,0
Heuristic,default,2,5,7,0.06315583293326199,0
Heuristic,default,5,4,9,0.08238937496207654,1
Optimized,default,5,4,9,0.08759554196149111,1
Optimized,default,5,0,5,0.04834779095835984,1
Optimized,default,1,5,6,0.05866149999201298,0
Optimized,default,5,4,9,0.09637758298777044,1
Optimized,default,5,2,7,0.06660125008784235,1
Optimized,default,3,5,8,0.07741666701622307,0
Optimized,default,4,5,9,0.08746587485074997,0
Optimized,default,3,5,8,0.07708370801992714,0
Optimized,default,2,5,7,0.06581308296881616,0
Optimized,default,5,4,9,0.07909412495791912,1
Optimized,default,1,5,6,0.059669499984011054,0
Optimized,default,5,4,9,0.08549612504430115,1
Optimized,default,5,4,9,0.07512858300469816,1
Optimized,default,1,5,6,0.05635933415032923,0
Optimized,default,5,3,8,0.07692445814609528,1
Optimized,default,5,2,7,0.057659999933093786,1
Optimized,default,5,2,7,0.06999433296732605,1
Optimized,default,5,1,6,0.06302650016732514,1
Optimized,default,5,4,9,0.08642729208804667,1
Optimized,default,5,4,9,0.09278604085557163,1
Optimized,default,5,4,9,0.07920187502168119,1
Optimized,default,1,5,6,0.047819542000070214,0
Optimized,default,5,4,9,0.08703033393248916,1
Optimized,default,3,5,8,0.06985833309590816,0
