agent,opponent,our_points,opp_points,rallies,duration_s,won
Heuristic,Optimized,4,5,9,0.08906258293427527,0
Heuristic,Optimized,5,4,9,0.09374941699206829,1
Heuristic,Optimized,0,5,5,0.04514841688796878,0
Heuristic,Optimized,2,5,7,0.06535933306440711,0
Heuristic,Optimized,5,3,8,0.07093425001949072,1
Heuristic,Optimized,2,5,7,0.06706608296371996,0
Heuristic,Optimized,3,5,8,0.06958766700699925,0
Heuristic,Optimized,5,1,6,0.05741845793090761,1
Heuristic,Optimized,3,5,8,0.07683237479068339,0
Heuristic,Optimized,5,4,9,0.08592966594733298,1
Heuristic,Optimized,3,5,8,0.07602587505243719,0
Heuristic,Optimized,5,3,8,0.08096758392639458,1
Heuristic,Optimized,5,1,6,0.060509707778692245,1
Heuristic,Optimized,4,5,9,0.08547483291476965,0
Heuristic,Optimized,2,5,7,0.059511665953323245,0
Heuristic,Optimized,1,5,6,0.05482995789498091,0
Heuristic,Optimized,4,5,9,0.0812628751154989,0
Heuristic,Optimized,5,3,8,0.07166716689243913,1
Heuristic,Optimized,2,5,7,0.06305512483231723,0
Heuristic,Optimized,1,5,6,0.06059295800514519,0
Heuristic,Optimized,3,5,8,0.07893075002357364,0
Heuristic,Optimized,5,1,6,0.04874870809726417,1
Heuristic,Optimized,5,4,9,0.0871135420165956,1
Heuristic,Optimized,5,2,7,0.0567011667881161,1
Heuristic,Optimized,4,5,9,0.08932120795361698,0
Heuristic,Optimized,5,4,9,0.08784958301112056,1
Heuristic,Optimized,5,2,7,0.0676165830809623,1
Heuristic,Optimized,5,3,8,0.07560149999335408,1
Heuristic,Optimized,5,4,9,0.07720466703176498,1
Heuristic,Optimized,5,3,8,0.07254249998368323,1
Heuristic,Optimized,1,5,6,0.0537257909309119,0
Heuristic,Optimized,1,5,6,0.05703537492081523,0
Heuristic,Optimized,2,5,7,0.07014920795336366,0
Heuristic,Optimized,4,5,9,0.09237945917993784,0
Heuristic,Optimized,5,0,5,0.04873766680248082,1
Heuristic,Optimized,0,5,5,0.04093295778147876,0
Heuristic,Optimized,5,4,9,0.07297100010327995,1
Heuristic,Optimized,5,2,7,0.06497837486676872,1
Heuristic,Optimized,4,5,9,0.08387991599738598,0
Heuristic,Optimized,3,5,8,0.07637908309698105,0
Heuristic,Optimized,5,3,8,0.07885299995541573,1
Heuristic,Optimized,2,5,7,0.07306558289565146,0
Heuristic,Optimized,0,5,5,0.05398162500932813,0
Heuristic,Optimized,4,5,9,0.08616291708312929,0
Heuristic,Optimized,2,5,7,0.0658498341217637,0
Heuristic,Optimized,3,5,8,0.06755899987183511,0
Heuristic,Optimized,3,5,8,0.08102295803837478,0
Heuristic,Optimized,5,3,8,0.06871054088696837,1
Heuristic,Optimized,2,5,7,0.06648220797069371,0
Heuristic,Optimized,5,2,7,0.0713633329141885,1
Heuristic,RL,5,1,6,0.28905000002123415,1
Heuristic,RL,5,3,8,0.3840512919705361,1
Heuristic,RL,5,2,7,0.3030039998702705,1
Heuristic,RL,5,0,5,0.22455854178406298,1
Heuristic,RL,5,4,9,0.4041200000792742,1
Heuristic,RL,4,5,9,0.42037820909172297,0
Heuristic,RL,4,5,9,0.4321561250835657,0
Heuristic,RL,5,4,9,0.40316650015302,1
Heuristic,RL,5,1,6,0.29054116690531373,1
Heuristic,RL,5,3,8,0.33790116594173014,1
Heuristic,RL,5,3,8,0.40078549995087087,1
Heuristic,RL,5,0,5,0.19887520791962743,1
Heuristic,RL,5,1,6,0.3025664589367807,1
Heuristic,RL,5,1,6,0.2972682500258088,1
Heuristic,RL,5,1,6,0.2921363750938326,1
Heuristic,RL,5,4,9,0.4208906248677522,1
Heuristic,RL,5,3,8,0.41073666606098413,1
Heuristic,RL,5,1,6,0.2946150831412524,1
Heuristic,RL,5,3,8,0.3667331251781434,1
Heuristic,RL,5,4,9,0.4134117499925196,1
Heuristic,RL,5,2,7,0.3306236248463392,1
Heuristic,RL,5,0,5,0.23856870899908245,1
Heuristic,RL,5,3,8,0.3360292080324143,1
Heuristic,RL,5,4,9,0.45323604182340205,1
Heuristic,RL,5,1,6,0.28504470898769796,1
Heuristic,RL,5,1,6,0.2861714588943869,1
Heuristic,RL,5,0,5,0.21650754194706678,1
Heuristic,RL,5,0,5,0.2692517079412937,1
Heuristic,RL,5,1,6,0.27028379193507135,1
Heuristic,RL,5,2,7,0.3431179169565439,1
Heuristic,RL,5,1,6,0.30368604185059667,1
Heuristic,RL,3,5,8,0.4012393751181662,0
Heuristic,RL,5,1,6,0.2667315418366343,1
Heuristic,RL,5,0,5,0.24222791707143188,1
Heuristic,RL,5,3,8,0.43326691701076925,1
Heuristic,RL,5,1,6,0.2630610829219222,1
Heuristic,RL,5,4,9,0.44890129193663597,1
Heuristic,RL,5,4,9,0.4049509579781443,1
Heuristic,RL,5,1,6,0.2878130842000246,1
Heuristic,RL,4,5,9,0.42227124981582165,0
Heuristic,RL,5,3,8,0.3711600829847157,1
Heuristic,RL,5,3,8,0.3531178750563413,1
Heuristic,RL,5,2,7,0.33406595792621374,1
Heuristic,RL,3,5,8,0.42213766602799296,0
Heuristic,RL,4,5,9,0.45649004098959267,0
Heuristic,RL,5,1,6,0.2861560001038015,1
Heuristic,RL,5,0,5,0.24158195918425918,1
Heuristic,RL,3,5,8,0.3855761250015348,0
Heuristic,RL,5,2,7,0.32928774994798005,1
Heuristic,RL,5,1,6,0.28319508396089077,1
Optimized,RL,5,4,9,0.4406665829010308,1
Optimized,RL,5,1,6,0.27201337506994605,1
Optimized,RL,5,0,5,0.2484157499857247,1
Optimized,RL,5,3,8,0.39737258292734623,1
Optimized,RL,5,2,7,0.3205371249932796,1
Optimized,RL,5,2,7,0.3569052501115948,1
Optimized,RL,5,3,8,0.3925476248841733,1
