agent,opponent,our_points,opp_points,won
Heuristic,Optimized,2,5,0
Heuristic,Optimized,2,5,0
Heuristic,Optimized,5,3,1
Heuristic,Optimized,3,5,0
Heuristic,Optimized,5,2,1
Heuristic,Optimized,3,5,0
Heuristic,Optimized,5,3,1
Heuristic,Optimized,4,5,0
Heuristic,Optimized,5,2,1
Heuristic,Optimized,4,5,0
Heuristic,Optimized,3,5,0
Heuristic,Optimized,0,5,0
Heuristic,Optimized,5,3,1
Heuristic,Optimized,5,3,1
Heuristic,Optimized,3,5,0
Heuristic,Optimized,5,3,1
Heuristic,Optimized,2,5,0
Heuristic,Optimized,4,5,0
Heuristic,Optimized,3,5,0
Heuristic,Optimized,5,4,1
Heuristic,Optimized,5,2,1
Heuristic,Optimized,5,3,1
Heuristic,Optimized,2,5,0
Heuristic,Optimized,4,5,0
Heuristic,Optimized,2,5,0
Heuristic,Optimized,0,5,0
Heuristic,Optimized,5,3,1
Heuristic,Optimized,5,3,1
Heuristic,Optimized,3,5,0
Heuristic,Optimized,5,2,1
Heuristic,Optimized,2,5,0
Heuristic,Optimized,5,1,1
Heuristic,Optimized,3,5,0
Heuristic,Optimized,5,1,1
Heuristic,Optimized,5,4,1
Heuristic,Optimized,2,5,0
Heuristic,Optimized,5,3,1
Heuristic,Optimized,5,1,1
Heuristic,Optimized,2,5,0
Heuristic,Optimized,2,5,0
Heuristic,Optimized,5,4,1
Heuristic,Optimized,4,5,0
Heuristic,Optimized,4,5,0
Heuristic,Optimized,1,5,0
Heuristic,Optimized,5,4,1
Heuristic,Optimized,5,0,1
Heuristic,Optimized,5,4,1
Heuristic,Optimized,2,5,0
Heuristic,Optimized,5,1,1
Heuristic,Optimized,5,3,1
Heuristic,RL,5,2,1
Heuristic,RL,5,0,1
Heuristic,RL,5,2,1
Heuristic,RL,5,3,1
Heuristic,RL,3,5,0
Heuristic,RL,5,2,1
Heuristic,RL,5,1,1
Heuristic,RL,5,3,1
Heuristic,RL,4,5,0
Heuristic,RL,5,1,1
Heuristic,RL,3,5,0
Heuristic,RL,5,2,1
Heuristic,RL,5,3,1
Heuristic,RL,5,0,1
Heuristic,RL,5,4,1
Heuristic,RL,5,3,1
Heuristic,RL,5,2,1
Heuristic,RL,5,3,1
Heuristic,RL,5,1,1
Heuristic,RL,5,3,1
Heuristic,RL,5,2,1
Heuristic,RL,5,3,1
Heuristic,RL,5,3,1
Heuristic,RL,3,5,0
Heuristic,RL,5,4,1
Heuristic,RL,5,2,1
Heuristic,RL,5,2,1
Heuristic,RL,5,2,1
Heuristic,RL,5,0,1
Heuristic,RL,5,4,1
Heuristic,RL,3,5,0
Heuristic,RL,3,5,0
Heuristic,RL,5,0,1
Heuristic,RL,5,2,1
Heuristic,RL,5,3,1
Heuristic,RL,5,4,1
Heuristic,RL,5,4,1
Heuristic,RL,4,5,0
Heuristic,RL,5,2,1
Heuristic,RL,5,2,1
Heuristic,RL,5,3,1
Heuristic,RL,5,4,1
Heuristic,RL,5,1,1
Heuristic,RL,3,5,0
Heuristic,RL,4,5,0
Heuristic,RL,5,1,1
Heuristic,RL,5,1,1
Heuristic,RL,5,4,1
Heuristic,RL,5,1,1
Heuristic,RL,5,1,1
Optimized,RL,5,3,1
Optimized,RL,5,3,1
Optimized,RL,5,2,1
Optimized,RL,1,5,0
Optimized,RL,5,3,1
Optimized,RL,5,2,1
Optimized,RL,5,3,1
Optimized,RL,5,1,1
Optimized,RL,5,3,1
Optimized,RL,5,1,1
Optimized,RL,5,1,1
Optimized,RL,5,4,1
Optimized,RL,5,1,1
Optimized,RL,5,4,1
Optimized,RL,1,5,0
Optimized,RL,5,3,1
Optimized,RL,5,4,1
Optimized,RL,2,5,0
Optimized,RL,3,5,0
Optimized,RL,5,1,1
Optimized,RL,5,2,1
Optimized,RL,5,4,1
Optimized,RL,5,3,1
Optimized,RL,5,4,1
Optimized,RL,1,5,0
Optimized,RL,5,1,1
Optimized,RL,4,5,0
Optimized,RL,5,2,1
Optimized,RL,5,2,1
Optimized,RL,5,2,1
Optimized,RL,5,4,1
Optimized,RL,4,5,0
Optimized,RL,5,0,1
Optimized,RL,5,2,1
Optimized,RL,5,2,1
Optimized,RL,5,4,1
Optimized,RL,5,3,1
Optimized,RL,5,2,1
Optimized,RL,5,3,1
Optimized,RL,5,3,1
Optimized,RL,5,4,1
Optimized,RL,0,5,0
Optimized,RL,5,4,1
Optimized,RL,4,5,0
Optimized,RL,5,4,1
Optimized,RL,5,4,1
Optimized,RL,5,1,1
Optimized,RL,5,1,1
Optimized,RL,5,3,1
Optimized,RL,5,0,1
